epoch,accuracy_train_before,accuracy_val_before,accuracy_test_before,accuracy_train_after,accuracy_val_after,accuracy_test_after
0,0.0,0.0,1.8324607610702515,0.0,0.0,92.2774887084961
1,0.0,0.0,10.7421875,0.0,0.0,72.00520324707031
2,0.0,0.0,9.545454025268555,0.0,0.0,75.2597427368164
3,0.0,0.0,52.70935821533203,0.0,0.0,82.01970672607422
4,0.0,0.0,1.3574661016464233,0.0,0.0,91.70437622070312
5,0.0,0.0,42.914371490478516,0.0,0.0,92.1382064819336
6,0.0,0.0,32.704402923583984,0.0,0.0,47.79874038696289
7,0.0,0.0,0.0,0.0,0.0,60.402687072753906
8,0.0,0.0,15.184185981750488,0.0,0.0,66.93620300292969
9,0.0,0.0,1.8750001192092896,0.0,0.0,55.874996185302734
10,0.0,0.0,0.0,0.0,0.0,92.96346282958984
11,0.0,0.0,0.6506506204605103,0.0,0.0,79.52953338623047
12,0.0,0.0,0.13315579295158386,0.0,0.0,66.04527282714844
13,0.0,0.0,0.27210885286331177,0.0,0.0,94.55782318115234
14,0.0,0.0,47.663551330566406,0.0,0.0,87.5389404296875
15,0.0,0.0,8.267716407775879,0.0,0.0,94.96063232421875
16,0.0,0.0,62.73458480834961,0.0,0.0,84.9865951538086
17,0.0,0.0,2.6870007514953613,0.0,0.0,68.33695983886719
18,0.0,0.0,0.2811621427536011,0.0,0.0,96.81349182128906
19,0.0,0.0,10.483870506286621,0.0,0.0,91.93548583984375
20,0.0,0.0,11.194029808044434,0.0,0.0,62.366737365722656
21,0.0,0.0,39.72712707519531,0.0,0.0,69.66292572021484
22,0.0,0.0,13.19444465637207,0.0,0.0,93.47222137451172
23,0.0,0.0,2.756892204284668,0.0,0.0,83.20801544189453
24,0.0,0.0,24.905303955078125,0.0,0.0,89.20454406738281
25,0.0,0.0,2.032308578491211,0.0,0.0,80.87545776367188
26,0.0,0.0,3.445945978164673,0.0,0.0,80.81080627441406
27,0.0,0.0,0.0,0.0,0.0,89.16768646240234
28,0.0,0.0,24.0,0.0,0.0,88.0
29,0.0,0.0,1.734104037284851,0.0,0.0,65.78034973144531
30,0.0,0.0,91.24642944335938,0.0,0.0,94.76689147949219
31,0.0,0.0,0.4587155878543854,0.0,0.0,90.92762756347656
32,0.0,0.0,17.22319793701172,0.0,0.0,73.11072540283203
33,0.0,0.0,2.2869021892547607,0.0,0.0,63.513511657714844
34,0.0,0.0,13.061798095703125,0.0,0.0,82.02246856689453
35,0.0,0.0,0.0,0.0,0.0,96.38922882080078
36,0.0,0.0,1.3939393758773804,0.0,0.0,96.42424011230469
37,0.0,0.0,30.310880661010742,0.0,0.0,92.22797393798828
38,0.0,0.0,9.469696998596191,0.0,0.0,92.04545593261719
39,0.0,0.0,18.440677642822266,0.0,0.0,79.66101837158203
40,0.0,0.0,15.0837984085083,0.0,0.0,85.0279312133789
41,0.0,0.0,21.21573257446289,0.0,0.0,82.47914123535156
42,0.0,0.0,36.18538284301758,0.0,0.0,67.0231704711914
43,0.0,0.0,48.47660446166992,0.0,0.0,86.07181549072266
44,0.0,0.0,58.92857360839844,0.0,0.0,95.61688232421875
45,0.0,0.0,1.39616060256958,0.0,0.0,88.3071517944336
46,0.0,0.0,24.61773681640625,0.0,0.0,89.65341186523438
47,0.0,0.0,4.059829235076904,0.0,0.0,93.37606811523438
48,0.0,0.0,27.781047821044922,0.0,0.0,94.29075622558594
49,0.0,0.0,17.61811065673828,0.0,0.0,91.33857727050781
50,0.0,0.0,1.7758727073669434,0.0,0.0,80.22045135498047
51,0.0,0.0,13.741496086120605,0.0,0.0,94.96598815917969
52,0.0,0.0,1.7980637550354004,0.0,0.0,96.68049621582031
53,0.0,0.0,2.034883737564087,0.0,0.0,88.27519226074219
54,0.0,0.0,0.3169572353363037,0.0,0.0,63.6291618347168
55,0.0,0.0,10.188087463378906,0.0,0.0,59.247650146484375
56,0.0,0.0,18.379684448242188,0.0,0.0,86.81983184814453
57,0.0,0.0,32.47950744628906,0.0,0.0,72.74590301513672
58,0.0,0.0,29.797378540039062,0.0,0.0,60.66746139526367
59,0.0,0.0,2.710843563079834,0.0,0.0,88.25300598144531
60,0.0,0.0,2.231759548187256,0.0,0.0,81.5450668334961
61,0.0,0.0,3.5924618244171143,0.0,0.0,94.64075469970703
62,0.0,0.0,5.876865386962891,0.0,0.0,88.15298461914062
63,0.0,0.0,7.946553707122803,0.0,0.0,79.46554565429688
64,0.0,0.0,34.72906494140625,0.0,0.0,92.52873992919922
65,0.0,0.0,3.0386741161346436,0.0,0.0,91.71270751953125
66,0.0,0.0,16.504854202270508,0.0,0.0,75.62028503417969
67,0.0,0.0,6.9846673011779785,0.0,0.0,85.86030578613281
68,0.0,0.0,22.281879425048828,0.0,0.0,77.85234832763672
69,0.0,0.0,13.142375946044922,0.0,0.0,83.9932632446289
70,0.0,0.0,24.302133560180664,0.0,0.0,92.11822509765625
71,0.0,0.0,14.653691291809082,0.0,0.0,96.73726654052734
72,0.0,0.0,37.994720458984375,0.0,0.0,94.72295379638672
73,0.0,0.0,13.178295135498047,0.0,0.0,85.6035385131836
74,0.0,0.0,1.668302297592163,0.0,0.0,78.50833892822266
75,0.0,0.0,4.133430004119873,0.0,0.0,96.15663146972656
76,0.0,0.0,22.62529945373535,0.0,0.0,90.11933135986328
77,0.0,0.0,9.942195892333984,0.0,0.0,86.12716674804688
78,0.0,0.0,34.38331604003906,0.0,0.0,90.77195739746094
79,0.0,0.0,42.74592971801758,0.0,0.0,90.65817260742188
80,0.0,0.0,15.426105499267578,0.0,0.0,76.80690002441406
81,0.0,0.0,10.26512622833252,0.0,0.0,86.67573547363281
82,0.0,0.0,11.46304702758789,0.0,0.0,91.62895965576172
83,0.0,0.0,6.85602331161499,0.0,0.0,95.78844451904297
84,0.0,0.0,0.5242463946342468,0.0,0.0,85.25556945800781
85,0.0,0.0,58.68210220336914,0.0,0.0,96.52716064453125
86,0.0,0.0,21.329639434814453,0.0,0.0,81.99446105957031
87,0.0,0.0,34.04255294799805,0.0,0.0,94.93115997314453
88,0.0,0.0,3.838582754135132,0.0,0.0,90.8464584350586
89,0.0,0.0,13.346354484558105,0.0,0.0,85.48176574707031
90,0.0,0.0,52.968997955322266,0.0,0.0,82.97425079345703
91,0.0,0.0,25.0,0.0,0.0,95.9699478149414
92,0.0,0.0,57.645137786865234,0.0,0.0,93.86753845214844
93,0.0,0.0,4.581151962280273,0.0,0.0,93.3246078491211
94,0.0,0.0,28.32764434814453,0.0,0.0,94.74402618408203
95,0.0,0.0,17.368648529052734,0.0,0.0,91.40251922607422
96,0.0,0.0,3.6115567684173584,0.0,0.0,71.99037170410156
97,0.0,0.0,42.314815521240234,0.0,0.0,87.5
98,0.0,0.0,9.188034057617188,0.0,0.0,93.5897445678711
99,0.0,0.0,9.153005599975586,0.0,0.0,95.9699478149414
